iter	Passed	Remaining
424	1870	2530
425	1873	2524
426	1876	2518
427	1881	2514
428	1884	2508
429	1887	2502
430	1890	2496
431	1895	2492
432	1898	2486
433	1901	2479
434	1904	2473
435	1906	2466
436	1911	2462
437	1914	2455
438	1916	2449
439	1919	2442
440	1921	2436
441	1926	2432
442	1929	2426
443	1932	2419
444	1935	2414
445	1939	2408
446	1943	2403
447	1946	2397
448	1948	2391
449	1951	2385
450	1955	2380
451	1958	2374
452	1960	2367
453	1963	2361
454	1966	2355
455	1974	2355
456	1977	2350
457	1981	2344
458	1985	2340
459	1989	2335
460	1992	2329
461	1995	2323
462	2002	2322
463	2005	2317
464	2009	2311
465	2013	2307
466	2017	2302
467	2020	2297
468	2024	2291
469	2030	2289
470	2034	2284
471	2037	2278
472	2040	2273
473	2044	2269
474	2048	2264
475	2051	2258
476	2055	2254
477	2061	2250
478	2064	2245
479	2067	2240
480	2071	2235
481	2076	2231
482	2080	2226
483	2083	2220
484	2089	2218
485	2094	2214
486	2097	2209
487	2100	2204
488	2105	2200
489	2108	2194
490	2112	2189
491	2116	2185
492	2121	2182
493	2124	2176
494	2127	2170
495	2130	2165
496	2134	2160
497	2137	2154
498	2140	2149
499	2143	2143
500	2147	2138
501	2150	2133
502	2153	2127
503	2156	2122
504	2159	2116
505	2163	2112
506	2167	2107
507	2169	2101
508	2172	2096
509	2176	2090
510	2179	2085
511	2182	2080
512	2185	2074
513	2188	2069
514	2191	2064
515	2196	2060
516	2199	2055
517	2203	2050
518	2208	2047
519	2212	2042
520	2216	2037
521	2220	2032
522	2224	2028
523	2229	2025
524	2233	2020
525	2239	2018
526	2243	2013
527	2248	2009
528	2253	2006
529	2257	2001
530	2261	1997
531	2264	1992
532	2269	1988
533	2273	1984
534	2278	1980
535	2284	1977
536	2287	1972
537	2291	1968
538	2295	1963
539	2299	1959
540	2304	1954
541	2307	1950
542	2311	1945
543	2316	1941
544	2320	1937
545	2323	1932
546	2328	1928
547	2332	1924
548	2336	1919
549	2340	1915
550	2345	1910
551	2348	1905
552	2351	1900
553	2354	1895
554	2358	1891
555	2361	1885
556	2365	1881
557	2368	1876
558	2373	1872
559	2376	1867
560	2379	1862
561	2383	1857
562	2386	1852
563	2389	1847
564	2392	1842
565	2395	1836
566	2400	1833
567	2404	1829
568	2408	1824
569	2411	1819
570	2416	1815
571	2420	1811
572	2426	1808
573	2432	1805
574	2438	1802
575	2443	1798
576	2449	1795
577	2453	1791
578	2458	1787
579	2463	1784
580	2469	1780
581	2475	1778
582	2482	1775
583	2486	1771
584	2490	1767
585	2496	1763
586	2500	1759
587	2504	1754
588	2510	1751
589	2514	1747
590	2520	1744
591	2528	1742
592	2533	1738
593	2541	1736
594	2545	1732
595	2549	1728
596	2556	1725
597	2563	1723
598	2576	1724
599	2580	1720
600	2585	1716
601	2588	1711
602	2591	1706
603	2594	1701
604	2598	1696
605	2602	1692
606	2607	1688
607	2611	1683
608	2617	1680
609	2622	1676
610	2627	1672
611	2633	1669
612	2637	1665
613	2642	1661
614	2647	1657
615	2652	1653
616	2655	1648
617	2659	1643
618	2663	1639
619	2669	1636
620	2677	1633
621	2680	1629
622	2684	1624
623	2690	1621
624	2694	1616
625	2698	1612
626	2702	1607
627	2707	1603
628	2711	1599
629	2714	1594
630	2719	1590
631	2723	1585
632	2727	1581
633	2740	1582
634	2748	1579
635	2754	1576
636	2760	1572
637	2766	1569
638	2772	1566
639	2779	1563
640	2787	1561
641	2794	1558
642	2801	1555
643	2805	1550
644	2813	1548
645	2818	1544
646	2825	1541
647	2833	1539
648	2839	1535
649	2847	1533
650	2851	1528
651	2855	1524
652	2861	1520
653	2866	1516
654	2871	1512
655	2876	1508
656	2879	1503
657	2882	1498
658	2886	1493
659	2889	1488
660	2893	1483
661	2897	1479
662	2900	1474
663	2905	1470
664	2908	1465
665	2911	1460
666	2915	1455
667	2919	1450
668	2922	1445
669	2925	1440
670	2928	1435
671	2937	1433
672	2942	1429
673	2951	1427
674	2956	1423
675	2962	1420
676	2975	1419
677	2986	1418
678	2990	1413
679	2999	1411
680	3002	1406
681	3005	1401
682	3012	1398
683	3015	1393
684	3018	1388
685	3024	1384
686	3028	1380
687	3032	1375
688	3035	1370
689	3041	1366
690	3045	1361
691	3048	1356
692	3056	1354
693	3060	1349
694	3064	1345
695	3070	1341
696	3075	1337
697	3080	1332
698	3089	1330
699	3093	1325
700	3096	1320
701	3103	1317
702	3107	1312
703	3110	1307
704	3116	1304
705	3121	1299
706	3124	1295
707	3129	1290
708	3134	1286
709	3139	1282
710	3142	1277
711	3148	1273
712	3151	1268
713	3155	1263
714	3159	1259
715	3164	1255
716	3167	1250
717	3170	1245
718	3177	1241
719	3181	1237
720	3184	1232
721	3191	1228
722	3196	1224
723	3199	1219
724	3202	1214
725	3206	1210
726	3210	1205
727	3213	1200
728	3216	1195
729	3220	1191
730	3224	1186
731	3227	1181
732	3229	1176
733	3233	1171
734	3238	1167
735	3241	1162
736	3244	1157
737	3247	1152
738	3251	1148
739	3255	1143
740	3258	1138
741	3260	1133
742	3263	1128
743	3267	1124
744	3270	1119
745	3273	1114
746	3276	1109
747	3280	1105
748	3283	1100
749	3285	1095
750	3288	1090
751	3291	1085
752	3295	1080
753	3297	1075
754	3300	1071
755	3303	1066
756	3306	1061
757	3309	1056
758	3313	1052
759	3316	1047
760	3318	1042
761	3321	1037
762	3327	1033
763	3330	1028
764	3333	1023
765	3336	1019
766	3339	1014
767	3343	1010
768	3346	1005
769	3349	1000
770	3353	995
771	3357	991
772	3360	986
773	3363	982
774	3366	977
775	3371	973
776	3375	968
777	3378	963
778	3381	959
779	3385	954
780	3388	950
781	3391	945
782	3394	940
783	3398	936
784	3401	931
785	3404	926
786	3407	922
787	3410	917
788	3413	912
789	3418	908
790	3421	903
791	3423	899
792	3429	895
793	3432	890
794	3435	885
795	3438	881
796	3442	876
797	3446	872
798	3448	867
799	3451	862
800	3454	858
801	3458	853
802	3461	849
803	3463	844
804	3466	839
805	3471	835
806	3475	831
807	3477	826
808	3480	821
809	3483	817
810	3487	812
811	3490	808
812	3493	803
813	3496	798
814	3498	794
815	3502	789
816	3505	785
817	3508	780
818	3511	776
819	3514	771
820	3518	767
821	3521	762
822	3523	757
823	3526	753
824	3535	749
825	3538	745
826	3541	740
827	3573	742
828	3579	738
829	3582	733
830	3585	729
831	3588	724
832	3602	722
833	3605	717
834	3613	713
835	3615	709
836	3618	704
837	3622	700
838	3630	696
839	3632	691
840	3635	687
841	3680	690
842	3687	686
843	3692	682
844	3696	678
845	3700	673
846	3705	669
847	3709	664
848	3712	660
849	3720	656
850	3724	652
851	3727	647
852	3731	642
853	3739	639
854	3742	634
855	3745	630
856	3748	625
857	3752	621
858	3756	616
859	3759	611
860	3763	607
861	3766	603
862	3770	598
863	3774	594
864	3777	589
865	3781	585
866	3785	580
867	3788	576
868	3791	571
869	3795	567
870	3800	562
871	3803	558
872	3805	553
873	3809	549
874	3813	544
875	3817	540
876	3819	535
877	3823	531
878	3827	526
879	3830	522
880	3834	517
881	3836	513
882	3841	508
883	3844	504
884	3847	499
885	3850	495
886	3853	490
887	3856	486
888	3859	481
889	3862	477
890	3865	472
891	3868	468
892	3872	464
893	3875	459
894	3878	455
895	3882	450
896	3886	446
897	3889	441
898	3892	437
899	3895	432
900	3898	428
901	3902	423
902	3905	419
903	3908	415
904	3910	410
905	3914	406
906	3918	401
907	3921	397
908	3924	392
909	3930	388
910	3934	384
911	3936	379
912	3940	375
913	3945	371
914	3948	366
915	3950	362
916	3953	357
917	3957	353
918	3960	349
919	3963	344
920	3966	340
921	3969	335
922	3972	331
923	3976	327
924	3978	322
925	3981	318
926	3984	313
927	3988	309
928	3991	305
929	3994	300
930	3997	296
931	4001	291
932	4005	287
933	4008	283
934	4011	278
935	4015	274
936	4019	270
937	4022	265
938	4025	261
939	4028	257
940	4032	252
941	4037	248
942	4039	244
943	4042	239
944	4046	235
945	4049	231
946	4052	226
947	4055	222
948	4060	218
949	4064	213
950	4067	209
951	4070	205
952	4072	200
953	4076	196
954	4079	192
955	4081	187
956	4084	183
957	4087	179
958	4091	174
959	4094	170
960	4096	166
961	4099	161
962	4102	157
963	4107	153
964	4110	149
965	4112	144
966	4115	140
967	4119	136
968	4123	131
969	4125	127
970	4128	123
971	4131	119
972	4134	114
973	4137	110
974	4140	106
975	4143	101
976	4146	97
977	4149	93
978	4152	89
979	4155	84
980	4158	80
981	4161	76
982	4165	72
983	4167	67
984	4170	63
985	4173	59
986	4176	55
987	4179	50
988	4182	46
989	4185	42
990	4188	38
991	4195	33
992	4198	29
993	4200	25
994	4203	21
995	4207	16
996	4210	12
997	4212	8
998	4215	4
999	4217	0
